,comments
1208,This was one one of his better speeches in my opinion.
1209,"We get it Joe...very few people disagree that we needed to leave Afghanistan...but you got it all ass backwards....the correct order is civilians, government staff, military..."
1210,This is crazy.  Is there anyone that believes a single word of this speech?
1211,How many people still feel good that they voted this guy in?
1212,You win the war all by yourself joe. I saw ya do it.
1213,20 years ago we should of just flew in a plane full of cash plus $80 billion dollars in weapons and equipment then called it a victory!  We’d be in the same place as now without all the death of our service men and civilians!
1214,"I get that they left a lot of aircraft, and military equipment but if you really think about it, how would’ve they move all they equipment over when they barely could could get any troupes/people out? If you look on the map the closes place to fly and lad with out refueling is India maybe ? Then to get a cargo ship to haul all the equipment back would be smart but hard, that’s the plan I would’ve done, but I would’ve still probably left the tanks because they drive pretty slow and I think there isn’t many gas stations on the way to India anyway."
1215,Insanity: repeating the same BS over and over expecting a different result.
1216,if they had the means to and change the landscape of everything - what do the Taliban want the world to look like?  would it be modern?  science based?  or relatively archaic?
1217,I like the part where he tried to sound tough lol you think anyone is afraid of this guy? He wont remember what he said 5 minutes after.
1218,who votes for joe to move to Afghanistan?
1219,"Bagram U.S. military base was located in the neighborhood of Kabul Airport.
Withdrawing the base here in July was the biggest failure of this time."
1220,Could we get joe to eat a apple !  No more ice cream -- he gets brain freeze  that lasts for days !
1221,"Yes Mr President, no nation in the history has done so. You have  bettered your records of Korea and Vietnam."
1222,Biden had the balls that any other president didn’t have.
1223,🙏
1224,Was it 85 million votes that put this guy in the White House? How can 85 million people be so wrong?
1225,If the Buck stops with Joe he sure blamed a lot of people.
1226,All I know is that many politicians of both parties including president trump and Obama promised to bring the troops back home from Afghanistan if elected and many either tried or failed to do so and President Biden kept that promise. You may agree or disagree with him but he kept his promise.
1227,Walked up to podium quite nimbly
1228,Everybody has a solution till its your turn to apply it people have blind folds on and only see one side
1229,Your resignation or 25th amendment will make Nixon look like a misdemeanor 😂😂😂
1230,"Not criticizing a withdrawal, that's debatable but this must be the most incompetent military operation in US history!!"
1231,"They will go back when Lockheed-Martin says so. 
And DC will be like YES MASTER!"
1232,"Guys, if you listen to it at 1.25x speed he sounds super healthy"
1233,If YOU 'made the decision to end this war' what does your predecessor have to do with it?
1234,"Jie, thanks for the freaking BS,  destroyed Afghanistan n killed lots of innocent Afghans. That didn't mean a thing."
1235,WE STILL HAVE TROOPS IN IRAQ BRING THEM HOME TOO!!!
1236,He. DID NOT. end it.
1237,#ImpeachBiden
1238,It took him 2:15 to walk to the damn podium.
1239,You let America down Joe.
1240,This and $4.00+ a gallon of gas because some people freaked out over some tweets.
1241,Over twice as many dislikes as likes. There may yet be hope for this country...
1242,Starts as 14th second after 2nd minute ends.
1243,Nice job reading Joe.  You get a extra pudding tonight....
1244,The only winners here are the contractors and businesses that exploited the situation based on the self done 9/11
1245,"Joe, just turn the teleprompter around so we can read it"
1246,Him taking his mask off before his speech had me laughing…. We all know he put that thing on 2 seconds before he entered.
1247,"Its hard to tell but, is he STILL reading a teleprompter??"
1248,"he will not be elected for second term, mark my words"
1249,The penalty for treason is death.
1250,"It’s just so sad.  He’s just not able. He’s not calling the shots, but he’s not even up to whatever he’s signed up for.  Someone didn’t love him enough to tell him not to run."
1251,How about he deliver on any kind of promise made
1252,Listen at 1.25x speed
1253,I like it when wars end. Good job.
1254,"The first 2 minutes of video is nothing, did the president get lost? Glad someone steered him in the right direction."
1255,"He got us out, but left US citizens stranded there, weapons to our enemies and 12 soldiers are now dead.... great job.... what an idiot!"
1256,So far from truth!  This guy is able to lie or mumble on que!
1257,O bama support it !
1258,Trump 2024
1259,How people can still support this guy is just unbelievable.  Sheep are sheep though.
1260,Largest airlift in history is not something to brag about
1261,Where is everybody on the left yelling how great this Airlift was I don't hear anybody
1262,"It is utterly amazing to see this disaster of a president pretend like he is not only successful, but exceedingly so. This life-long establishment fool is a complete failure. This is political desperation personified. My god this is a level of gaslighting is a new level. This is insane."
1263,reaching for a second term that you will not get 🤡
1264,Whats worse getting hacked and bugged for a year in one of the most guarded places on earth on trumps watch or what's going on in Afghanistan
1265,what's he saying????   he is all over the place-- you botched it Joe. you botched it--- you left a whole Air Force.  you LEFT people.   he's just bragging.      who loses and brags that they won
1266,"Doesn't matter which potus it was Or did to pull all US troops out, you're damned if you do and your damned if you don't."
1267,81 million votes. I just don't understand.
1268,I am still confuse why American people vote for this type of President ?
1269,"Left our expensive equipment in that country. Maybe it was part of a deal, really bad decision 🙄"
1270,I hope the people that voted this type of nonsense back into power are happy. Was a border wall and stupid tweets really that bad?
1271,You ended one and started another you my be the president but your the face of our country and you made America look weak as hell ty you embarrassed all of us
1272,Losing* the war.
1273,Comment section is insane. Why are you guys so offensive? You realize you are being just as bad if not worse than the presidents committing these acts? You’re either reactively fighting or supporting their narrative without coming up with your own.
1274,watch this on 1.5x thank me later
1275,Another useless speech by “Walk-Away Joe”
1276,"I see a re occurring theme here with Democratic politicians.  Remember Bengazhi??? So quickly we forget, but that was about a movie isn’t that what sleepy Joe and Obama claimed?"
1277,"I need Trumph!!!
Now the people realize how important Trumph is !!!"
1278,"it's just too bad no one else in the world is willing to help US... we have to fly across seas to make these efforts, where are the people who surround their land?"
1279,"He is taking credit for getting 100,000 plus people out but we did not do it on our own. England and France had troops on the ground. Countries around the world took in the refuges. He sounds like Trump stealing glory for himself instead of taking responsibility for screwing up the drawdown. At the end he mentioned his son Beau and his service. beau died of cancer for which I am truly sorry but at least he wasn't blown to pieces like many of our soldiers in Afghanistan. And he was awarded the Bronze Star. This is a medal for valor during combat against the enemy, but Beau di not participate in any combat actions. He was just another Biden taking credit for the actions of others. The Bidens' need to go."
1280,I am here for the comments. I can’t listen to this guy anymore.
1281,He needs to fall on some lead
1282,Man can't even keep his likes count higher than dislikes and we are expected to believe he is the most popular US president in history? Gimme a break!!!! Come on man!!!!!
1283,"instead of blaming your president, blame the Afghan forces who didn't fight and surrenderd everything after all that training and money that has been spent, Shame on you!"
1284,Thank you president Biden for finally doing what was long overdue.
1285,"There has never been a weaker, more worthless bag of wind in our presidency that this bumbling bag of Alzheimer’s."
1286,Wheres his voters at?
1287,I can't stand even hearing him talk I swear it's something with a flesh costume trying to act human he is disgusting
1288,You still blame the Afghans? You didn't really learn any lesson.
1289,"poor joe, he's just a baby. harris ! can you give joe some chocolat milk, i'm sure he would love it."
1290,$86 billion gift given to the Taliban... this is just the beginning.
1291,Reality check -- Joe Biden ???
1292,"So basically you have got your ass kicked for 20 years! 
And because you liked it so much you also had to engineered 911..."
1293,Look over his shoulder Military Flags gold fringe. Marshal-Law. Commander and chief : Russell-Jay: Gould.
1294,Wait so he literally just admitted that it was Trump's plan to leave Afghanistan and not his and really he's been saying it was his idea all along period but still somehow it was Trump's fault for the withdrawal
1295,"""Its the people's fault. They don't want to come out.""

""Its Trump's fault."""
1296,"120k evacuated in short time. It could happen only one way, using the strategy of chaos. hahahaha"
1297,How can anybody believe biden
1298,"Dude, ending the war was great but ffs the execution was horrible."
1299,It's not ended... we just quit. This mf incompetent af
1300,"I cannot believe the people who looked at this and said, ""Wow, I want you to be my president"" What an absolutely pathetic excuse for a man let alone president."
1301,2:04   are you ready for  this 28:33
1302,"Physically, mentally, and morally dead  President ....."
1303,"""we will hunt you down and WE will pay"" 😂😂😂"
1304,"Reading these comments gives me a glimpse of hope in the American people. For the first time after reading comments for hours I have not found 1 person on his side. Maybe we can take our country back and stop this communistic incompetent takeover. FIGHT BACK PEOPLE ITS OUR COUNTRY!!! isnt also stated ""to protect against ALL threats foreign and domestic."" doesnt really matter the time period."
1305,1.5 speed 👀 he sounds as though like a normal paced human being
1306,"HE TALKS ABOUT ""CORRUPTION""!!!!!"
1307,Thanks biden obama
1308,These comments are filled with republicans 😂😂😂😂😂😂
1309,POV: You came for these comments.
1310,Lol of course it's Trump fault !! Lol  joe is on a lot of caffeine  ! Lol what a  joke
1311,if we stop giving out armaments to Afghan.. that'd be great
1312,how was it in any way a success
1313,"look what american did in afghan in past 20 years, and how people's life getting much better in xinjiang,china. they both islamic region"
1314,"Why is he yelling?
Is he scolding the American people?
He used a kinder tone with the Kabul terrorists."
1315,Guy wants credit for filling planes with random Afghans who now are our responsibility.
1316,Never perpetrate this joke.
1317,what an embarrassment
1318,Mr 10%
1319,"Joe, you know nothing about the real military experience!"
1320,"""I made the decision to end this war""

Nah BRUH, TRUMP DID! You sure messed it up though."
1321,What an absolute shitshow!
1322,God bless Joe
1323,There's something lurking in his undies.
1324,still a scripted speech. walkaway JOE is as sincere and transparent as a rock. almost 50years of public service to fill his pockets
1325,"Old joe gave up and didn't wanna get involved

why did my family chose this old man for president and yes they are Mexican and think trump is bad and Biden is good :/"
1326,Is it me or does he squint to read that teleprompter
1327,totally not looking at a reading card that was written for him... lol his eyes are so dead locked on what he is reading.... every time he pauses for a second he has this look on his face like he is lost and or trying really hard not to loose his place on whatever he is reading..... i would take this a little more serious if he maybe looked at the camera once....and didn't make it so obvious that he is just reading something that was written for him... it feels so ungenuine when he does not even look at the camera you can tell they got the camera and the reading cards positioned the right way so it looks like he is looking at the camera but you can tell in his eyes that he is trying really hard to read or well read and make it sound like a good speech like Obama use to give...
1328,I Took a POOP Earlier that had more INTELLIGENT Thoughts 🤮
1329,"I wanted to pay attention, but I couldn't. I got sleepy."
1330,"All I hear is him saying... ""please believe me, I really tried hard to do good, guys."" Pitiful and pathetic. Weakest leader in the history of leaders."
1331,No human right if not Dems.
1332,Chump can't even be on time for his own briefing.
1333,"Never taking responsibility, always blaming others. If it was a success you know for sure he’d make it known it was under his administration 🙄"
1334,"""I pooped my pants"""
1335,"He left the dogs behind as well. 
Where's the outrage. ."
1336,There’s a significant difference between ending a war and losing one.
1337,Ya can't blame ❤️🇺🇸💪🏻 TRUMP 💪🏻🇺🇸❤️. Blame yourself.....
1338,🤣🤣🤣
1339,we are f***ed with this geriatric puppet...
1340,A flood of words in which he does not want to drown alone but also with us.
1341,Incompetence at its finest...
1342,Advance it 2.16 minutes.
1343,"Once a politician, always a politician. His Alzheimer's must've made him forget how much of a disaster he caused. Who knows, he's probably gone senile."
1344,Sounds like 20 minutes of excuses. He doesnt want to save the americans still there.
1345,I feel so much better knowing that within 3 years we will be right back in there!!!
1346,"Yes they did a great job, despite your horrific leadership! Just imagine what they could have done without you!"
1347,"0.0015 seconds. World record for the fastest video paused. Now, straight to comments."
1348,"It’s like he is still campaigning…Joe the election is over buddy, stop telling everyone what your going to do and just do it before the bad guy has a chance to capitalize on your plan. Seriously, this guy is more focused on playing politics and kissing the butts of his voting base rather than quietly implementing any tactic or strategy without broadcasting his next move."
1349,"You did not end the war stupid, all you did was start the next one!"
1350,Does anyone really believe what he is saying? Like for real i want to know?
1351,"not gonna lie, didn't watch any of this rubbish. but i did notice he put on his mask while walking back into his house, lol"
1352,WAR
1353,"Come, Mister Taliban , tally me banana
(Daylight come and me wan' go home)
Come, Mister Taliban , tally me banana
(Daylight come and me wan' go home)"
1354,Double dose of Adderall
1355,You have no shame Biden!
1356,"What a liarrrrr! Took him 3 weeks ro come up w this bofus lie ? Trying to blame American G I ‘s …. Geez , ehat a SCHMUCK"
1357,no more Biden
1358,His tone bothers me so much. Lmao
1359,Illegitimate geriatric puppet.
1360,I sincerely hope that a lesson is learned here 'not to put your military nose where it doesn't belong' and put the taxpayers money on the welfare of US citizens here at home.
1361,Yaddayaddayadda you will do” sights and wonders and hockey great green cucumbers”  Murderer
1362,Traitor!!!!!!!!!!
1363,"How to try and grasp a victory out of the very real, irresponsible and deadly defeat."
1364,He has got worsening dementia
1365,"I thought we had a little help from our friends?  We didn’t do this alone, did we, Joe?"
1366,"Blah, blah, blah, blah, blah where am eye , (lol) and this, dat and de other thing. Oh and did I mention gas prices will double before the weekend and I’m dying to hug a teen. Love uncle Joe"
1367,Oh my god this guy is a joke
1368,"what a load of crap, i almost fell asleep listening to him"
1369,Treason
1370,"forgetting obvious problems with what he said.. basically, it was an emotional plea.. well, seems America thinks the world runs on its emotions.. let's see how that plays out.. within 10 years we're gonna have trouble over this on a large scale, but at least the house plant preached platitudes at us for 20 minutes.. don't we all feel better?"
1371,Trump signed a deal. But he didn't say leave like a humiliated bunch. At least leave with dignity..jeez. 80+ billion dollars of equipment left behind wow 😂
1372,"Blaming Trump again, ok. Ffs"
1373,Sleeping 😴 sleeping 😴 😴
1374,Him and his teleprompter 🤨😏🙄
1375,What an accomplishment! You should be so proud JOEY BOY.What a BAFFON! How bout The Americans you left behind
1376,"yeah this guy is useless lmao, also just send an ICBM and the afghan problem is solved"
1377,Thank you President Biden!  I believe you and I support this decision 100%
1378,"Are you looking for a spell caster who can help you grant your wishes.
I recommend you to DR OKOLO  on his youtube channel."
1379,We’re idiots.
1380,"As he was walking away there was probably someone in the doorway saying""This way, joe, this way""."
1381,Despicable Joe trying to turn this into a win for himself.  JoeBiteme you cost us 13 American Souls needlessly.
1382,ရ
1383,what a joke.
1384,"If American civilians and Afghan allies are left behind, the war in Afghanistan is NOT over!"
1385,Afghans should be furious. Suggesting the Afghan government just handed over the country to their enemies is a vicious characterization of what occurred and a complete abdication of his responsibility to tell the truth.
1386,he sounds lnormal at 1.25 playback
1387,"This guy is a complete joke, everyone who voted for him has to be regretting their decision"
1388,Finally a president who gets us out of wars. Biden for reelection 2024.  Greatest POTUS ever!!!
1389,"LIES, and MORE LIES"
1390,"""we will not forgive, we will not forget"" how very catholic of you Joe"
1391,Joke Biden..
1392,Thank you and God bless you President Biden for ending the war in Afghanistan. I am proud to be a supporter and I agree prayer it’s very important and necessary . I see your heart and I love the way you speak the truth to all Americans I know your beloved son is in heaven being devoted and his wisdom to help you to continue to do the work needed to heal and help heal America with superb guidance🙏👍🏻🌎❤️👊
1393,If trump still president he handle  better than sleepy joe😂
1394,FOS AS A CHRISTMAS TURKEY
1395,Never seen CNBC comments this harsh towards Biden. It’s well deserved and long over due. No leader is above criticism
1396,disgusting!
1397,This guy is a joke
1398,Pathetic
1399,F biden
1400,Damn it’s been almost a year and he NEVER takes questions
1401,"NO Mr President...You GAVE afghanistan to China on a Silver Plate, because China told yo so, because China needs the Lithium and other resources of Afghanistan."
1402,A lot of dislikes
1403,"The smooth steam syntactically sneeze because treatment customarily smell throughout a encouraging polish. well-to-do, open hourglass"
1404,POS
1405,"New title, how not to withdraw from a conflict when you’re the only one who call timeout"
1406,13 Soldiers did not “give” their lives. You TOOK their lives.
1407,Isis K huh what's it going to be next Isis Z
1408,disgusting
1409,The world is changing and we’re becoming a weak link thanks to Sleepy J and this entire snowflake era!
1410,You were at Dover airport checking your watch. Seeing how quick you could get away from the shame even an empty shell of a man like you must feel somewhere in what remains of your soul. Those 13 caskets are on you Joe on you.
1411,Worst EVER.
1412,What a potato
1413,Lunatic
1414,I can't even stand to look at him... he not only betrayed his own country but betrayed his ally countries too...
1415,Here we come with his son beau again— let him Rest In Peace— no wonder hunter acts like he does— daddy loved beau more than him!
1416,Bla bla
1417,My comment was censored
1418,So seeing the dislikes and reading all these comments I’m having it difficult to see how Biden could have won over trump wired 😷
1419,Thank God we finally have a real President!!!
1420,“Unparalleled results” that’s for sure
1421,Good job!👍
1422,I think he did a great job
1423,"""Peace in our time""."
1424,You know they’re scared when they’re saying good things about the USA instead of bashing it
1425,If he feels so passionately  about our military what did he have so important that he had to keep checking his watch while they were unloading those flag draped coffins of our heros
1426,"everyday just gets better and better with this man in office.
Open, Biden..."
1427,Now he's proud of himself
1428,"His delivery will always be off but he is generally spot on. All policy speeches are theater. That includes posturing, de amino zing and virtue signaling. There will always be fluff. I’m just glad to hear and hopeful for follow through on the diversion from a foreign policy heavily reliant on the military and regime change . The best tribute we can give to war veterans is to stop being so eager create more of them. A truly great nation will have greater success influencing the world through our character and relationships rather than by force and warfare."
1429,I can't believe this is happening .
1430,Well we finally have a bipartisan understanding on something. This was an absolute train wreck.
1431,Freedom to Afghanistan
1432,I especially admire American politicians who can speak so full of justice and sense of mission about the shameless things they have done and are doing. This is America.
1433,I am not so sure that turning your back to the enemy is a wise decision.
1434,He extended the war from May 1st to August 31st but couldn't extend it again? 🤷‍♂️🤦‍♂️🤣😂🤣😂
1435,So proud of the largest airlift in history.. meanwhile it wouldn't have ever been necessary if he hadn't royally screwed up .. 🤦‍♀️
1436,"Putin takes questions from the press but Biden doesn't
Says a lot"
1437,"I am tired of Americans who do not see anything good about this country. I congratulate our troops who carried out an extraordinary mission. I do not believe any country in the world would have pulled the feat of air lifting that number of people within such a short period. My condolences to the families of the troops who died just before the mission ended, I bet it is painful to them. "
1438,"Pulling out is one thing. How irresponsibly done it was another, and it was very poorly done.  And this war is not finished. This fool will never own up to his mistake to his grave."
1439,"wow, good job /s"
1440,"Thank you for leaving the Taliban and China with a large amount of weapons and cash, airplanes, armored vehicles, and a large number of military dogs; Biden, thank you"
1441,"NBC
CNN
MSNBC
FB"
1442,Biden: I forgot.. what is Afghanistan again?
1443,Work to help the people leave that are supposed to be trained to defend their home
1444,"We have ""endless military deployments"" all over the world. We have troops and bases in Germany but no one says we're still fighting WWII."
1445,Sleepy Joe is very good at reading from a teleprompter...never let his eyes off of it for one sec....this is your POTUS
1446,"Nice, create your own fire and praise yourself of the outcome, nice job politician."
1447,To be honest we should glass them once we are out
1448,someone needs to be held accountable for this!! Senators and representatives please I beg you impeach this man. He is destroying this country .
1449,Oh dang he did make it. But wait let them tell him what to say
1450,He didn’t end it just started what a nut case
1451,my gut tells me i cant trust this guy
1452,Why do Biden’s speech writers have to make it sound like he is admitting defeat? “We completed our mission” should have been enough and at least somewhat reassuring. This  one sounds like he just finished a marathon he didn’t sign up for. How many apologies does one need to give? Not the words of a leader.
1453,"We all recall that Trump brokered this deal, right? Trump negotiated with the Taliban and made a deal with them (Feb 29th 2020) to pull US troops out of Afghanistan by May of 2021. Biden actually agreed with Trump on this, only it took him a little bit longer. Obviously the ramifications have been tragic. RIP to the service men and women and blessings and consolation to their families, friends and loved ones. That goes without saying."
1454,Really we should have been out of Afghanistan a long time ago
1455,"""Human rights are the centre of our foreign policy ""
So lets give away a country to terrorists 😂😂.
Very humane."
1456,I thought he decided to leave in April. They asked American citizens to leave since March? Hmmmm?
1457,giving the enemy a bunch of high grade weapons isnt ending anything.. LOL
1458,💞💕 I AM PROUD OF MY PRESIDENT AND I AM PROUD OF MY COUNTRY TODAY. Thank you President Biden
1459,This who y’all liberals voted for😂
1460,20 services members were wounded in a peaceful extraction from Afghanistan? That doesn't sound like the taliban was help extract are soldiers like you promised they'd do.
1461,"SO  SHWEEEETTT...much  love  Tee with  LIONS  NAMED LEO.[the music  worldwide}

us  help  us  all   always   and  expose  evil  always  ."
1462,Does this mean we get a tax cut now that we ain't spending all that money?
1463,"When it comes to Afghan people Americans should stay quiet. 🤔
You have no idea what they went through. 
Be helpful and giving. 
Thanks"
1464,"A  totally destructive  sucess 
..... what is the meaning of  then martyrdom  of thousands  of Americans  soldiers  in Afghanistan 🇦🇫..    u must respect ur soldiers  sacrifice...  real truth  is America  is responsible  for whatever the crises in Afghanistan  if I talk politically  .......u dnt have  to leave the Afghanistan  and the people over there in such horrible  crises........"
1465,"He can’t take responsibility, his handlers wouldn’t allow that."
1466,"lets tell everyone what we're doing and how on live TV and wonder why it wont work, I'm sure that will teach those mean old talibans."
1467,81 million votes
1468,He sure end it with a taliban blast
1469,My favorite president is Thomas Jefferson he looks like a daddy!!! FR AMERICAN VIBEZ!
1470,I’m so sorry to all those who died and are stuck behind enemy lines. I’m so sick and tired of this guy. I’m sick and tired of seeing evil. I want to see everyone happy and breaking bread with each other. Not this. God bless you all!
1471,NO QUESTIONS…. EVER!
1472,We did it to Japan
1473,He deserves a Columbian necktie.
1474,This guy is sickening to listen to.
1475,Of course can't be a leader and admit this was his decision.
1476,"Don’t blame me, I voted Trump"
1477,hes staring at a script this whole video lol
1478,"Way to refuse to even say Trump’s name, or did Biden forget his name?"
1479,Blood on Democrats hands.
1480,This is what happens leaders are chosen by identiy instead of abilities.
1481,"""A STRATEGIC RETREAT"""
1482,Reading a script without the means to understand what he is saying.  Remove him.
1483,And We should keep supporting AT-ali-ban supporter and servant of Xiden with our money 💪
1484,"BEST DECISION EVER!!

DEMOCRATS 2022!!
DEMOCRATS 2024!!"
1485,He puts the mask on 2 seconds before walking out and takes it off… such a fraud
1486,"Kamala "" We Did It Joe"""
1487,Shameful!!
1488,These are the lowest amount of views I’ve ever seen - I think we all can see what’s going on here no applause either that is the quietest entrance ever into a room ! Wait Technically aren’t you supposed to be sworn in on a certain date ? That didn’t happen and hasn’t for a while.  I suggest you all do your research because these may be all actors.
1489,I wonder which God were you referring that bless this country and protect our troops? You need to clarify it is not the God who allows abortion of the unborn children. Hypocrisy at its best!!!
1490,He literally blamed those left behind for not making it out. What a twisted individual. Resign Biden.
1491,"Wait a minute, now he’s saying they prepared for it when days ago he said nobody could have seen this coming and nobody suggested it could even happen?"
1492,Thats was the weirdest speech ive ever seen
1493,كل عم يحربو عم ياكل من ورا طهرنا ليش انتو وحوش٢ مانكوم بشر اعملو شي امنيح مشان الله يطول بعمرك
1494,You're doing the right things.... May God bless you...
1495,The saddest part is Biden lost the election and we just stood by helplessly on Wednesday and Thursday and Friday as they fixed the election results....totally unheard of in the history of US Presidential elections
1496,Afghanistan is saturated in resources other than oil
1497,We know joe....YOU FAILED AGAIN!
1498,I cannot stand all of you here in the comments. We should stand by our president in a time like this. Man made the right decision.
1499,"Joe, I wouldn't trust you to save your action figures from the bathtub drain. If this is your idea of an 'extraordinary success', then I am terrified to know what constitutes a failure in your book."
1500,"Again Mr MAGOO doesn't take any questions from the press. Just like the other day looking at his watch, he's in a hurry to catch the early bird special.at Cafe Milano."
1501,what happen to the hitlist that he mention?
1502,All I heard was lie after lie in every single sentence he said...!!
1503,Sooo we’re just gonna ignore everyone who was left behi- strand- stayed there 100% by choice?
1504,You left a lot of goodies there Biden! CHRISTMAS  will come early when you ALL get your kickbacks!! It's  about the money! You don't  care about people!
1505,When did ya'll start being concerned about spending?
1506,He pulled out of Afghanistan cause it was over 18 years old
1507,"Who won 
Draw?"
1508,"We have airlifted 100,000 Afghans!!!??? So where are they now!!?? Who is paying for them?"
1509,#impeach the potato!!!
1510,"I guess its nice ""they"", whom ever ""they"" are, finally ""let"" him talk about Afghanistan. What a joke he is."
1511,Чоооо он говорит; 1.09.21; я не понел. Я знаю что Россия и Киргизия= 😘
1512,How many dem voters  out there watching this today were secretly missing Trump 🤔
1513,I'd rather spend 300 million dollars a day on our vets & their families.
1514,"His numbers keep climbing 
More then 100,000
10's of thousands 
Over 120,000 haha"
1515,I feel like I lose brain feels listening to this guy
1516,Uncle is a marine and let’s just say Biden isn’t being thanked after what happened.
1517,Can I have same Talibans  deal.  I would leave usa for 3 trillions dollars  and fully army baes and air forces base.
1518,Old dude is out to lunch lmao!
1519,Resident biden needs to RESIGN NOW!!!!!!
1520,The service dogs were in their crates starving to death
1521,This guy truly is pathetic. This is who this country voted for. Great job a true travesty
1522,"You belong to a home, by no means have anything to offer as a president!"
1523,"Thumbs down you are very missed lead group and hopefully you’ll gain insight into communism and what a democracy is and how proves you to be free. Material , physical, and spiritual. To have a democracy there must be a balance. My prayer is we all rise to assist One another and our government. Because without looking at a balance America will have lost it’s most great place in the world. And that is to maintain its honor and trust and freedom. The cautious difference because we could very easily fall in to the one area we do not need to be in and that would be looking at material Thinking. . Think carefully."
1524,"""we are out of Afghanistan for  good""  ........""I will hunt you down..I will come for you """
1525,That was rough.
1526,"Why does he keep repeating the thing about Trump agreeing to May 1st? He's admitting he's the one that broke the agreement but then seems to be imply that makes it Trump's fault.
This is like the 4th time he's said it too.
Complete incompetence."
1527,"biden should give his speech to his people, go give the speech in afghanistan to the taliban."
1528,Thats weird my friend is being deployed to Afghanistan soon. It maybe just a small army now i dunno but his not happy about it.
1529,"Go to bed, old man,you always look sleepy."
1530,"Stop with the blame game, stop with your pathetic ""tough guy"" voice.  The people advising you should be fired and you, Mr. President should be honorable and admit your failure to execute a plan that would have resulted is a different outcome.  An outcome that would have saved lives, saved the US reputation, and ensured the safety of future terrorist threats.  Stop patting yourself on the back...this was a historical debacle that you lead and will be forever remembered by."
1531,Speechcraft -69
1532,I want my money back.
1533,I want my money back.
1534,"It too late, sleepyJoe."
1535,"He has such a hard time reading the teleprompter properly, he doesn't even process what he is saying in real time... That's why it seems so robotic... The man has no clue but what he was instructed to do.."
1536,"The fantastic decision intrinsically serve because cocoa morally apologise behind a phobic carol. zealous,  freezing badge"
1537,What a fool…prison…murderer !
1538,"Success??? ""Oh brother THIS GUY STINKS!!!"""
1539,He thinks this is leadership.
1540,"I just smashed an ocean liner into an iceberg, but look at the record setting numbers of people I got on life rafts!!"
1541,"""The bottom line is: There is no evakkeyayshun--evacuation."" 14:36"
1542,Your a killer those soldiers blood is in your hands
1543,"trump would have handled this much better, he would have had a press conference like he did in Helsinki handing over power to the American Taliban."
1544,He is clueless
1545,Damn you! We deserve answers. And to turn your back on us yet again is beyond unacceptable!
1546,"All he is here is the messenger... others wrote every word of it. But I have to admit, I only made it to the 4 minute mark as I can't stand listening to him any longer than that."
1547,That man is a f*cking joke. There is no way he is actually in charge. He is certainly not in control.
1548,#Joebidenisakiller
1549,Looking at your watch as the caskets came out of the plane.. so much lies..
1550,Don't you know the people behind the curtain are terrified the whole time he is in front of the cameras?  They hold their breath just knowing he is going to say something completely insane or possibly falling on his way to or from the lectern.
1551,Thank you Mr. President! You did as good as could be expected under the circumstances. Thank you for clarifying to all those that were worshipping him instead of paying attention to what he was doing that hindered this operation. Folks are so spoiled that they don't consider how immense this whole situation was and why were put in it. You say it clearly they just don't want to hear anything that contradicts their partisan political stances.
1552,These are the lowest views I have ever seen
1553,"Gotta love the empty podium for 2 minutes, are they trying to tell us something?"
1554,2 trillion dollar and then lose. classic united states
1555,"I’m surprised he wasn’t checking his watch!
“Hmmm is it pudding time soon”?"
1556,Great Satan
1557,Disgraceful…
1558,"Ummmm... that's a green screen, folks. The sound of the camera shutters were added in. This is insane."
1559,are we living in reverse bizarro world? I can't even watch this I'm two minutes in and I've already thrown up in my mouth twice
1560,"Here is some insight:

This is how the Democrats talk to groups of minorities. First it is the mix messaging, speaking truths out of context so you doubt your own opinion, add a personal connection (ex: my so served), and lastly quote either MLK or Lincoln…"
1561,"What a loser. We all know he didn't win. &who is the ""they""who don't let him speak? Man has 0power over us. STOP COMPLYING IT'S OUR RIGHT. NO PASSPORTS IF BUSINESSES SAY NO!"
1562,"Hes a liar! He said half the country was Taliban when we trained 300,000 Afghanistan soldiers and there were only 70,000 Taliban."
1563,Complete disgrace to America.
1564,"Love how cnn, YouTube, FB, Insta, and all media outlets are giving this Biden the clown is getting a pass. What a joke."
1565,"If his lips are moving he's lieing. I notice whenever they talk about how many they got out,  they never say where they put them, nor how they will be vetted. Please Pray for the  left behind Americans and Afghans, that we can rescue them."
1566,"he did right,  that was a never ending war, the bush family war"
1567,Democrats 🙄
1568,afghanistan war finally over 20 years of hell
1569,He's Lying
1570,Kamala Harris is in the basement laughing hysterically for no reason
1571,This is a sham. And a shame.
1572,"he always brings up his sons military experience when he brings up the war. Beau was an Army officer as a Lawyer, not a fighter. His son didn't even die in combat or because of a service related injury. Additionally, he was in the National Guard and was not Active Duty."
1573,One of the most deceitful speeches ever delivered by a president of the USA!
1574,សួស្តី
1575,Obiden attempts to talk while living a lie that’s why he laughs
1576,Various feeling sigh*
1577,"One thing you can say about trump, countries were afraid of what he was going to do because he wasn't a predictable politician."
1578,Withdrawal a SUCCESS??..  PRANKSTER!!
1579,Freaking JOKE
1580,Selected in chief.
1581,Jimmy Carter looks like a genius next to this dope
1582,I failed successfully
1583,This guy is so full of crap…
1584,BUILT [THE TALIBAN] BACK BETTER!
1585,God I would love for that teleprompter to go out somehow. They have to have 20 backup batteries.
1586,Joey crack corn and we don’t care!
